Bin,Phylum,Class,Order,Family,Genus,Species,Distance
bin_361,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Tissierellaceae,g__Tissierella,s__Tissierella_creatinophila,0.339586
bin_15,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_sp_GW101_3H11,0.191731
bin_180,p__Bacteroidetes,c__CFGB2107,o__OFGB2107,f__FGB2107,g__GGB6000,s__GGB6000_SGB8623,0.287309
bin_177,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium_acidifaciens,0.2661355
bin_277,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1234,s__GGB1234_SGB1613,0.103175463
bin_129,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Alkaliphilus,s__Alkaliphilus_metalliredigens,0.35328
bin_320,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Rickettsia,s__Rickettsia_typhi,0.372583
bin_372,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_SGB15340,0.274507137
bin_258,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB3240,s__GGB3240_SGB4280,0.07507193
bin_211,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister_invisus,0.047821164
bin_96,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidales_unclassified,g__Bacteroidales_unclassified,s__Bacteroidales_bacterium_CF,0.224525
bin_52,p__Bacteroidetes,c__CFGB971,o__OFGB971,f__FGB971,g__GGB2571,s__GGB2571_SGB3484,0.320287
bin_117,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,s__Holdemanella_SGB6796,0.283386823
bin_92,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Alysiella,s__Alysiella_filiformis,0.283502
bin_217,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_unclassified,g__Clostridiales_unclassified,s__Clostridiales_bacterium_KLE1615,0.074212034
bin_256,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_ventriosum,0.320734319
bin_309,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger_sp_An50,0.245371
bin_87,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.291447
bin_188,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_bryantii,0.3116812
bin_163,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_ovatus,0.077543026
bin_63,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_dentiae,0.215885
bin_304,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__Tetrasphaera_australiensis,0.320287
bin_324,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_SGB9458,0.372583
bin_162,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerostipes,s__Anaerostipes_hadrus,0.034698915
bin_271,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Klenkia,s__Klenkia_soli,0.35328
bin_310,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_weaveri,0.372583
bin_153,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiales_unclassified,g__Aquabacterium,s__Aquabacterium_sp_NJ1,0.213325
bin_182,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__Ramlibacter_tataouinensis,0.372583
bin_358,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1869,0.220489
bin_191,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Williamwhitmaniaceae,g__Williamwhitmania,s__Williamwhitmania_taraxaci,0.339586
bin_327,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Chryseobacterium,s__Chryseobacterium_haifense,0.23011
bin_190,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Snodgrassella,s__Snodgrassella_alvi,0.320287
bin_8,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella_pneumoniae,0.033770015
bin_232,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.256381
bin_95,p__Firmicutes,c__CFGB1334,o__OFGB1334,f__FGB1334,g__GGB3232,s__GGB3232_SGB4269,0.026188633
bin_101,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_raffinolactis,0.017057033
bin_187,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_finegoldii,0.073573212
bin_230,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,s__Paludibacter_propionicigenes,0.328965
bin_156,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Brachymonas,s__Brachymonas_denitrificans,0.26546
bin_195,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter_splanchnicus,0.065296227
bin_359,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__Ramlibacter_tataouinensis,0.306598
bin_125,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__Clostridium_saccharolyticum,0.291447
bin_238,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_carolinensis,0.1868315
bin_318,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.279978
bin_375,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.279978
bin_379,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1918,0.245371
bin_323,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__GGB4315,s__GGB4315_SGB5910,0.121785179
bin_252,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,s__Moraxella_osloensis,0.17408116
bin_59,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_copri,0.042510866
bin_283,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,s__Paracoccus_aminovorans,0.300994
bin_355,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_SGB1652,0.127747
bin_19,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Laribacter,s__Laribacter_hongkongensis,0.02309125
bin_307,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_bouvetii,0.339586
bin_229,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8267,s__GGB8267_SGB12643,0.283502
bin_170,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger_SGB15301,0.339586
bin_139,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Alicycliphilus,s__Alicycliphilus_denitrificans,0.16159675
bin_106,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Dysgonamonadaceae,g__Dysgonamonadaceae_unclassified,s__Dysgonamonadaceae_bacterium,0.306598
bin_351,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_unclassified,g__Candidatus_Hodgkinia,s__Candidatus_Hodgkinia_cicadicola,0.372583
bin_197,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_graminisolvens,0.2141935
bin_121,p__Firmicutes,c__CFGB1451,o__OFGB1451,f__FGB1451,g__GGB3628,s__GGB3628_SGB4914,0.033472998
bin_40,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__Thauera_propionica,0.247037
bin_293,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.295981
bin_38,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_shayeganii,0.207842
bin_136,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_prausnitzii,0.051604649
bin_331,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_wautersii,0.312952
bin_205,p__Firmicutes,c__CFGB3072,o__OFGB3072,f__FGB3072,g__GGB9781,s__GGB9781_SGB15402,0.320287
bin_157,p__Firmicutes,c__CFGB1349,o__OFGB1349,f__FGB1349,g__GGB3293,s__GGB3293_SGB4348,0.023466372
bin_69,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__GGB9822,s__GGB9822_SGB15463,0.153933143
bin_25,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__Tetrasphaera_duodecadis,0.227796
bin_245,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__Ramlibacter_tataouinensis,0.250557
bin_329,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,s__Arcobacter_cryaerophilus,0.10807
bin_199,p__Actinobacteria,c__CFGB3793,o__OFGB3793,f__FGB3793,g__GGB11716,s__GGB11716_SGB18454,0.35328
bin_166,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,s__Paludibacter_propionicigenes,0.306598
bin_98,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_putredinis,0.020776433
bin_364,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8249,s__GGB8249_SGB12620,0.405585
bin_55,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__Roseburia_faecis,0.024728953
bin_37,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sp_316,0.35328
bin_231,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_carolinensis,0.179783
bin_270,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Finegoldia,s__Finegoldia_SGB6690,0.35328
bin_45,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Ruminococcus_torques,0.008702098
bin_303,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Buchnera,s__Buchnera_aphidicola,0.405585
bin_299,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_sp_GW101_3H11,0.236445
bin_213,p__Firmicutes,c__CFGB1354,o__OFGB1354,f__FGB1354,g__GGB3304,s__GGB3304_SGB4367,0.060709512
bin_343,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_towneri,0.183572
bin_285,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_tjernbergiae,0.287309
bin_44,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Aquaspirillum,s__Aquaspirillum_sp_LM1,0.235108
bin_266,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__GGB1843,s__GGB1843_SGB2531,0.320287
bin_31,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,s__Tessaracoccus_lapidicaptus,0.186064
bin_72,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Sulfurospirillum,s__Sulfurospirillum_SGB19235,0.320287
bin_235,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,s__Arcobacter_cryaerophilus,0.136788
bin_325,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8249,s__GGB8249_SGB12620,0.26803
bin_108,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_unclassified,g__GGB3525,s__GGB3525_SGB4705,0.026350533
bin_104,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_ovatus,0.092089363
bin_103,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_guillouiae,0.233089
bin_89,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Blautia_sp_KLE_1732,0.028148442
bin_143,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__GGB3601,s__GGB3601_SGB4862,0.039230614
bin_192,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_eligens,0.090500546
bin_73,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_gaoshouyii,0.283502
bin_167,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Blautia_obeum,0.049972306
bin_241,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Eubacterium_rectale,0.093972134
bin_116,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,s__Tessaracoccus_lapidicaptus,0.2607575
bin_160,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli,0.05284695
bin_194,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.242205
bin_70,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Pasteurella,s__Pasteurella_testudinis,0.202271
bin_345,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_media,0.26546
bin_93,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Azonexaceae,g__Dechloromonas,s__Dechloromonas_denitrificans,0.189679
bin_46,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB9719,s__GGB9719_SGB15272,0.289700093
bin_140,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea,s__Dorea_formicigenerans,0.267649137
bin_357,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1266,s__GGB1266_SGB1699,0.128717411
bin_215,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_temperans,0.1937145
bin_161,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Catenibacterium,s__Catenibacterium_SGB6783,0.040692446
bin_222,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter_splanchnicus,0.0770042
bin_4,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_vulgatus,0.036550213
bin_224,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Ruaniaceae,g__Ruaniaceae_unclassified,s__Ruaniaceae_bacterium_KH17,0.35328
bin_272,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,s__Paracoccus_denitrificans,0.306598
bin_50,p__Proteobacteria,c__Oligoflexia,o__Silvanigrellales,f__Silvanigrellaceae,g__Silvanigrella,s__Silvanigrella_aquatica,0.220489
bin_76,p__Synergistetes,c__CFGB3088,o__OFGB3088,f__FGB3088,g__GGB9844,s__GGB9844_SGB15499,0.276697
bin_294,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.276697
bin_6,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_uniformis,0.030381697
bin_48,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__Thauera_aminoaromatica,0.308716
bin_251,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_magnum,0.35328
bin_175,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_carolinensis,0.15624375
bin_365,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_graminisolvens,0.1477075
bin_204,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_sp_N177_16,0.320287
bin_110,p__Proteobacteria,c__CFGB1704,o__OFGB1704,f__FGB1704,g__GGB4258,s__GGB4258_SGB5792,0.021240153
bin_132,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Brachymonas,s__Brachymonas_denitrificans,0.243761
bin_27,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_coprosuis,0.25242
