Bin,Phylum,Class,Order,Family,Genus,Species,Distance
bin_148,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea,s__Dorea_longicatena,0.040973381
bin_120,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_thetaiotaomicron,0.072653461
bin_67,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter_saccharivorans,0.027463508
bin_249,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8248,s__GGB8248_SGB12619,0.239237
bin_306,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1838,0.194429
bin_146,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_SGB15346,0.035871655
bin_291,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_vulgatus,0.156042727
bin_47,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Comamonas_terrigena,0.0347411
bin_336,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_SGB4580,0.186761
bin_289,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_merdae,0.123495291
bin_208,p__Bacteroidetes,c__CFGB784,o__OFGB784,f__FGB784,g__GGB1929,s__GGB1929_SGB2668,0.372583
bin_78,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Polynucleobacter,s__Polynucleobacter_cosmopolitanus,0.320287
bin_124,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_adolescentis,0.022673888
bin_114,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,s__Trichococcus_flocculiformis,0.039740375
bin_141,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidales_unclassified,g__Bacteroidales_unclassified,s__Bacteroidales_bacterium_CF,0.26803
bin_201,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_graminisolvens,0.0754249
bin_214,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,s__Holdemanella_SGB6796,0.063528955
bin_176,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_sp_AL212,0.228939
bin_374,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Youngiibacter,s__Youngiibacter_fragilis,0.247037
bin_183,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_diversa,0.300994
bin_111,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pectobacteriaceae,g__Brenneria,s__Brenneria_goodwinii,0.328965
bin_300,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_temperans,0.2399795
bin_353,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Comamonas_kerstersii,0.306470182
bin_131,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8249,s__GGB8249_SGB12620,0.235108
bin_68,p__Firmicutes,c__CFGB3005,o__OFGB3005,f__FGB3005,g__GGB9468,s__GGB9468_SGB14861,0.022589062
bin_347,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,s__Paracoccus_aminovorans,0.287309
bin_7,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__Mycolicibacterium_fallax,0.192258
bin_236,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_thermophilus,0.081406828
bin_145,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Comamonas_aquatica,0.218943333
bin_302,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Aquaspirillum,s__Aquaspirillum_sp_LM1,0.270747
bin_86,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Flavonifractor,s__Flavonifractor_plautii,0.233927277
bin_209,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister_invisus,0.078943392
bin_280,p__Firmicutes,c__CFGB1349,o__OFGB1349,f__FGB1349,g__GGB3293,s__GGB3293_SGB4348,0.14437148
bin_328,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_graminisolvens,0.2214765
bin_158,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_alcaligenes,0.257437
bin_322,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_caeni,0.291447
bin_240,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_prausnitzii,0.07206069
bin_150,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila,s__Bilophila_wadsworthia,0.044888971
bin_295,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Chryseobacterium,s__Chryseobacterium_haifense,0.197292
bin_275,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Sebaldella,s__Sebaldella_termitidis,0.247037
bin_202,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea,s__Dorea_formicigenerans,0.066880508
bin_234,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Oblitimonas,s__Oblitimonas_alkaliphila,0.330778375
bin_362,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfohalovibrio,s__Desulfohalovibrio_alkalitolerans,0.291447
bin_107,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Comamonas_sp_26,0.101338
bin_127,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_bouvetii,0.0601403
bin_134,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_unclassified,s__Eubacterium_siraeum,0.037322548
bin_154,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_chungangensis,0.0420431
bin_233,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1874,0.116257
bin_147,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB9714,s__GGB9714_SGB15254,0.031617801
bin_66,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus_bicirculans,0.023788527
bin_91,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_pseudocatenulatum,0.027656766
bin_244,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas_sp_BIIR7,0.187713
bin_20,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_radicidentis,0.283502
bin_288,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Candidatus_Carsonella,s__Candidatus_Carsonella_ruddii,0.328965
bin_36,p__Firmicutes,c__CFGB1464,o__OFGB1464,f__FGB1464,g__GGB3679,s__GGB3679_SGB4993,0.022206077
bin_292,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_caeni,0.291447
bin_149,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_comes,0.042644872
bin_137,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_SGB17274,0.0411998
bin_151,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_towneri,0.0511448
bin_366,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_temperans,0.362936
bin_83,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_allosaccharophila,0.0783601
bin_123,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_sp_EGD_AK9,0.171263
bin_369,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_sp_56,0.239259
bin_255,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Cloacibacterium,s__Cloacibacterium_normanense,0.214163
bin_64,p__Firmicutes,c__CFGB3068,o__OFGB3068,f__FGB3068,g__GGB9758,s__GGB9758_SGB15369,0.029125476
bin_75,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Chryseobacterium,s__Chryseobacterium_hominis,0.047832
bin_356,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Cloacibacterium,s__Cloacibacterium_normanense,0.287309
bin_276,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__Thauera_phenylacetica,0.218593
bin_250,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1234,s__GGB1234_SGB1613,0.298511281
bin_290,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Giesbergeria,s__Giesbergeria_anulus,0.254359
bin_338,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.295981
bin_18,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_massiliensis,0.015232773
bin_218,p__Proteobacteria,c__CFGB990,o__OFGB990,f__FGB990,g__GGB2599,s__GGB2599_SGB3514,0.248003
bin_171,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1866,0.0760584
bin_370,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1817,0.186761
bin_279,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_sp_EGD_AK9,0.254359
bin_207,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerobutyricum,s__Anaerobutyricum_hallii,0.07893354
bin_58,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,s__Moraxella_sp_VT_16_12,0.213325
bin_212,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Aquaspirillum,s__Aquaspirillum_sp_LM1,0.17663
bin_21,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__GGB1334,s__GGB1334_SGB1791,0.350927
bin_317,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_sp_L_1B5_3,0.263022
bin_5,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_caccae,0.014255806
bin_186,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__GGB9578,s__GGB9578_SGB14993,0.051209335
bin_54,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB9728,s__GGB9728_SGB15286,0.016165383
bin_198,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB9615,s__GGB9615_SGB15054,0.067012351
bin_281,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sinopsychrotolerans,0.216771
bin_248,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_fragilis,0.102633536
bin_273,p__Firmicutes,c__CFGB1349,o__OFGB1349,f__FGB1349,g__GGB3293,s__GGB3293_SGB4348,0.088679961
bin_332,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1266,s__GGB1266_SGB1699,0.121161416
bin_84,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_longum,0.021179007
bin_206,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_SGB15317,0.052386619
bin_350,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli,0.164214478
bin_228,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister_SGB5829,0.168956
bin_9,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_distasonis,0.022096354
bin_61,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_unclassified,g__Clostridiales_unclassified,s__Clostridiales_bacterium_KLE1615,0.037748154
bin_226,p__Proteobacteria,c__CFGB1704,o__OFGB1704,f__FGB1704,g__GGB4258,s__GGB4258_SGB5792,0.074717438
bin_254,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Comamonas_aquatica,0.290026
bin_178,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_prausnitzii,0.052204349
bin_179,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB9615,s__GGB9615_SGB15055,0.23782
bin_88,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_chungangensis,0.300994
bin_339,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_media,0.223483
bin_152,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__GGB4962,s__GGB4962_SGB6925,0.0239216
bin_223,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ralstonia,s__Ralstonia_solanacearum,0.366148667
bin_126,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Megamonas,s__Megamonas_funiformis,0.032593025
bin_298,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__Sutterella,s__Sutterella_wadsworthensis,0.092772587
bin_115,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sinopsychrotolerans,0.172635
bin_340,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1269,s__GGB1269_SGB1704,0.196126
bin_164,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB9632,s__GGB9632_SGB15089,0.037967852
bin_181,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_bouvetii,0.0764518
bin_122,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,s__Paludibacter_propionicigenes,0.295981
bin_308,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_kalamii,0.273629
bin_344,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_sp_56,0.26462
bin_174,p__Chloroflexi,c__Caldilineae,o__Caldilineales,f__Caldilineaceae,g__Caldilinea,s__Caldilinea_aerophila,0.328965
bin_102,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Jeotgalibaca,s__Jeotgalibaca_sp_PTS2502,0.287309
bin_301,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__Rhizobium_oryzae,0.35328
bin_184,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Propionivibrio,s__Propionivibrio_dicarboxylicus,0.287309
bin_133,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Sulfurospirillum,s__Sulfurospirillum_sp_JPD_1,0.35328
bin_26,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_chartae,0.186301
bin_189,p__Chlamydiae,c__CFGB4353,o__OFGB4353,f__FGB4353,g__GGB12784,s__GGB12784_SGB19822,0.328965
bin_242,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_coleocanis,0.320287
bin_85,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8283,s__GGB8283_SGB12664,0.272662182
bin_56,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,s__Tessaracoccus_lapidicaptus,0.2399675
bin_100,p__Firmicutes,c__CFGB1874,o__OFGB1874,f__FGB1874,g__GGB4971,s__GGB4971_SGB6961,0.2782494
bin_319,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger_SGB15294,0.192791
bin_239,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,s__Trichococcus_flocculiformis,0.09606625
bin_314,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__GGB4254,s__GGB4254_SGB5782,0.2351265
bin_376,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_SGB17274,0.11134
